	H01	H02	H03	H04	H05	H06	H07	H08	date	rands	notes
1187	P0141	Consumer Price Index	1116003	Maize meal	Price (Rand)	monthly	10931	5 Kilogram	2017-02-01 	..	
1266	P0141	Consumer Price Index	1116005	Cereals	Price (Rand)	monthly	10895	500 Gram	2017-02-01 	31.78	
1345	P0141	Consumer Price Index	1116008	Super maize	Price (Rand)	monthly	10917	1 Kilogram	2017-02-01 	12.91	
1424	P0141	Consumer Price Index	1116008	Super maize	Price (Rand)	monthly	10926	2.5 Kilogram	2017-02-01 	28.95	
1503	P0141	Consumer Price Index	1116008	Super maize	Price (Rand)	monthly	10931	5 Kilogram	2017-02-01 	52.53	
1582	P0141	Consumer Price Index	1116009	Special maize	Price (Rand)	monthly	10917	1 Kilogram	2017-02-01 	11.43	
1661	P0141	Consumer Price Index	1116009	Special maize	Price (Rand)	monthly	10926	2.5 Kilogram	2017-02-01 	26.56	
1740	P0141	Consumer Price Index	1116010	Hot cereals (porridge) incl instant porridge	Price (Rand)	monthly	10917	1 Kilogram	2017-02-01 	19.56	
1819	P0141	Consumer Price Index	1116011	Ready-mix flour	Price (Rand)	monthly	10917	1 Kilogram	2017-02-01 	23.12	
1898	P0141	Consumer Price Index	1116012	Samp	Price (Rand)	monthly	10917	1 Kilogram	2017-02-01 	..	
1977	P0141	Consumer Price Index	1121001	Beef rump steak	Price (Rand)	Monthly	10734	Per Kilogram	2017-02-01 	122.08	
2056	P0141	Consumer Price Index	1121002	Beef brisket	Price (Rand)	Monthly	10734	Per Kilogram	2017-02-01 	74.52	
2135	P0141	Consumer Price Index	1121003	Beef chuck	Price (Rand)	Monthly	10734	Per Kilogram	2017-02-01 	76.49	
2214	P0141	Consumer Price Index	1121004	Beef T-bone	Price (Rand)	Monthly	10734	Per Kilogram	2017-02-01 	92.44	
2293	P0141	Consumer Price Index	1121005	Beef mince	Price (Rand)	monthly	10734	Per Kilogram	2017-02-01 	73.5	
2372	P0141	Consumer Price Index	1121006	Beef fillet	Price (Rand)	Monthly	10734	Per Kilogram	2017-02-01 	180.98	
2451	P0141	Consumer Price Index	1121008	Beef Sirloin	Price (Rand)	Monthly	10734	Per Kilogram	2017-02-01 	123.3	
2530	P0141	Consumer Price Index	1121009	Stewing beef	Price (Rand)	Monthly	10734	Per Kilogram	2017-02-01 	68.22	
2609	P0141	Consumer Price Index	1121010	Beef offal	Price (Rand)	monthly	10734	Per Kilogram	2017-02-01 	42.46	
2688	P0141	Consumer Price Index	1122001	Pork chops	Price (Rand)	Monthly	10734	Per Kilogram	2017-02-01 	80.28	
2767	P0141	Consumer Price Index	1122002	Pork ribs	Price (Rand)	Monthly	10734	Per Kilogram	2017-02-01 	81.93	
2846	P0141	Consumer Price Index	1122003	Pork fillet	Price (Rand)	Monthly	10734	Per Kilogram	2017-02-01 	97.27	
2925	P0141	Consumer Price Index	1123002	Mutton/Lamb rib chop	Price (Rand)	Monthly	10734	Per Kilogram	2017-02-01 	135.39	
3004	P0141	Consumer Price Index	1123003	Mutton/Lamb loin chop	Price (Rand)	Monthly	10734	Per Kilogram	2017-02-01 	140.18	
3083	P0141	Consumer Price Index	1123005	Mutton/Lamb leg	Price (Rand)	Monthly	10734	Per Kilogram	2017-02-01 	123.56	
3162	P0141	Consumer Price Index	1123006	Mutton/Lamb neck	Price (Rand)	Monthly	10734	Per Kilogram	2017-02-01 	98.04	
3241	P0141	Consumer Price Index	1123007	Mutton/Lamb ofal	Price (Rand)	Monthly	10734	Per Kilogram	2017-02-01 	41.14	
3320	P0141	Consumer Price Index	1123008	Stewing mutton/lamb	Price (Rand)	Monthly	10734	Per Kilogram	2017-02-01 	91.69	
3399	P0141	Consumer Price Index	1124001	Whole chicken - fresh	Price (Rand)	monthly	10734	Per Kilogram	2017-02-01 	44.72	
3478	P0141	Consumer Price Index	1124002	Chicken portions - fresh	Price (Rand)	monthly	10734	Per Kilogram	2017-02-01 	55.97	
3557	P0141	Consumer Price Index	1124005	IQF chicken portions	Price (Rand)	monthly	10924	2 Kilogram	2017-02-01 	62.76	
3636	P0141	Consumer Price Index	1124006	Chicken portions frozen - non IQF	Price (Rand)	monthly	10734	Per Kilogram	2017-02-01 	43.04	
3715	P0141	Consumer Price Index	1124007	Chicken giblets (neck, gizzards, hearts, etc)	Price (Rand)	monthly	10734	Per Kilogram	2017-02-01 	30.8	
3794	P0141	Consumer Price Index	1125004	Polony	Price (Rand)	monthly	10917	1 Kilogram	2017-02-01 	35.45	
3873	P0141	Consumer Price Index	1125005	Ham	Price (Rand)	monthly	10895	500 Gram	2017-02-01 	35.92	
3952	P0141	Consumer Price Index	1125006	Biltong	Price (Rand)	monthly	10734	Per Kilogram	2017-02-01 	249.69	
4031	P0141	Consumer Price Index	1125007	Bacon	Price (Rand)	monthly	10855	200 Gram	2017-02-01 	28.6	
4110	P0141	Consumer Price Index	1125009	Sausage	Price (Rand)	monthly	10734	Per Kilogram	2017-02-01 	70.26	
4189	P0141	Consumer Price Index	1126002	Beef extract	Price (Rand)	monthly	10839	120 Gram	2017-02-01 	12.18	
4268	P0141	Consumer Price Index	1126005	Corned beef	Price (Rand)	monthly	10869	300 Gram	2017-02-01 	21.69	
4347	P0141	Consumer Price Index	1131001	Hake - frozen	Price (Rand)	monthly	10884	400 Gram	2017-02-01 	51.76	
4426	P0141	Consumer Price Index	1134001	Fish fingers - frozen	Price (Rand)	monthly	10884	400 Gram	2017-02-01 	37.46	
4505	P0141	Consumer Price Index	1134002	Tuna - tinned	Price (Rand)	monthly	10850	170 Gram	2017-02-01 	17.23	
4584	P0141	Consumer Price Index	1134003	Fish (excl tuna) - tinned	Price (Rand)	monthly	10884	400 Gram	2017-02-01 	17.63	
4663	P0141	Consumer Price Index	1141001	Full cream milk - fresh	Price (Rand)	monthly	10963	2 Litre	2017-02-01 	26.17	
4742	P0141	Consumer Price Index	1141002	Full cream milk - long life	Price (Rand)	monthly	10960	1 Litre	2017-02-01 	13.89	
4821	P0141	Consumer Price Index	1142001	Low fat milk - fresh	Price (Rand)	monthly	10963	2 Litre	2017-02-01 	26.24	
4900	P0141	Consumer Price Index	1142002	Low fat milk - long life	Price (Rand)	monthly	10960	1 Litre	2017-02-01 	13.84	
4979	P0141	Consumer Price Index	1143001	Powdered milk	Price (Rand)	monthly	10916	900 Gram	2017-02-01 	133.23	
5058	P0141	Consumer Price Index	1143002	Whiteners	Price (Rand)	monthly	10895	500 Gram	2017-02-01 	24.98	
5137	P0141	Consumer Price Index	1143003	Condensed milk	Price (Rand)	monthly	10881	385 Gram	2017-02-01 	22.62	
5216	P0141	Consumer Price Index	1144001	Plain yogurt	Price (Rand)	monthly	10917	1 Kilogram	2017-02-01 	28.04	
5295	P0141	Consumer Price Index	1144002	Flavoured yogurt	Price (Rand)	monthly	10917	1 Kilogram	2017-02-01 	28.75	
5374	P0141	Consumer Price Index	1145001	Cheddar cheese	Price (Rand)	monthly	10734	Per Kilogram	2017-02-01 	101.78	
5453	P0141	Consumer Price Index	1145001	Cheddar cheese	Price (Rand)	monthly	10916	900 Gram	2017-02-01 	101.98	
5532	P0141	Consumer Price Index	1145002	Gouda cheese	Price (Rand)	monthly	10855	200 Gram	2017-02-01 	24.96	
5611	P0141	Consumer Price Index	1145002	Gouda cheese	Price (Rand)	monthly	10916	900 Gram	2017-02-01 	102.39	
5690	P0141	Consumer Price Index	1145003	Cheese spread	Price (Rand)	monthly	10863	250 Gram	2017-02-01 	29.31	
5769	P0141	Consumer Price Index	1145004	Feta cheese	Price (Rand)	monthly	10884	400 Gram	2017-02-01 	44.51	
5848	P0141	Consumer Price Index	1146001	Cream - fresh	Price (Rand)	monthly	11019	250 Millilitre	2017-02-01 	19.49	
5927	P0141	Consumer Price Index	1146002	Sour milk	Price (Rand)	monthly	10924	2 Kilogram	2017-02-01 	27.3	
6006	P0141	Consumer Price Index	1146003	Custard - prepared	Price (Rand)	monthly	10960	1 Litre	2017-02-01 	26.77	
6085	P0141	Consumer Price Index	1146004	Maize based food drink (e.g. mageu )	Price (Rand)	monthly	10960	1 Litre	2017-02-01 	13.11	
6164	P0141	Consumer Price Index	1146005	Flavoured milk	Price (Rand)	monthly	11022	300 Millilitre	2017-02-01 	9.82	
6243	P0141	Consumer Price Index	1147001	Eggs	Price (Rand)	monthly	10558	For 6	2017-02-01 	14.71	
6322	P0141	Consumer Price Index	1147001	Eggs	Price (Rand)	monthly	10563	For 18	2017-02-01 	37.89	
6401	P0141	Consumer Price Index	1152001	Margarine spread (in a tub)	Price (Rand)	monthly	10895	500 Gram	2017-02-01 	25	
6480	P0141	Consumer Price Index	1152002	Brick margarine	Price (Rand)	monthly	10895	500 Gram	2017-02-01 	22.35	
6559	P0141	Consumer Price Index	1152003	Peanut butter	Price (Rand)	monthly	10884	400 Gram	2017-02-01 	27.76	
6638	P0141	Consumer Price Index	1154001	Sunflower oil (incl canola oil)	Price (Rand)	monthly	11044	750 Millilitre	2017-02-01 	22.58	
6717	P0141	Consumer Price Index	1161001	Oranges	Price (Rand)	Monthly	10734	Per Kilogram	2017-02-01 	27.22	
6796	P0141	Consumer Price Index	1162001	Bananas	Price (Rand)	monthly	10734	Per Kilogram	2017-02-01 	15.85	
6875	P0141	Consumer Price Index	1163001	Apples	Price (Rand)	monthly	10734	Per Kilogram	2017-02-01 	18.48	
6954	P0141	Consumer Price Index	1164001	Pears	Price (Rand)	Monthly	10734	Per Kilogram	2017-02-01 	18.43	
7033	P0141	Consumer Price Index	1165004	Avocados	Price (Rand)	Monthly	11015	Each	2017-02-01 	15.66	
7112	P0141	Consumer Price Index	1167001	Paw paw	Price (Rand)	Monthly	11015	Each	2017-02-01 	0	
7191	P0141	Consumer Price Index	1167002	Pineapple	Price (Rand)	Monthly	11015	Each	2017-02-01 	13.78	
7270	P0141	Consumer Price Index	1168004	Peanuts	Price (Rand)	monthly	10845	150 Gram	2017-02-01 	15.94	
7349	P0141	Consumer Price Index	1171001	Lettuce	Price (Rand)	monthly	11015	Each	2017-02-01 	12.22	
7428	P0141	Consumer Price Index	1171002	Spinach/morogo	Price (Rand)	monthly	10735	Per Bunch	2017-02-01 	8.86	
7507	P0141	Consumer Price Index	1172001	Cabbage	Price (Rand)	monthly	11015	Each	2017-02-01 	13.25	
7586	P0141	Consumer Price Index	1172002	Cauliflower	Price (Rand)	monthly	11015	Each	2017-02-01 	17.66	
7665	P0141	Consumer Price Index	1172003	Broccoli	Price (Rand)	monthly	11015	Each	2017-02-01 	0	
7744	P0141	Consumer Price Index	1173001	Tomatoes	Price (Rand)	monthly	10734	Per Kilogram	2017-02-01 	18.46	
7823	P0141	Consumer Price Index	1173002	Pumpkin	Price (Rand)	monthly	10734	Per Kilogram	2017-02-01 	11.87	
7902	P0141	Consumer Price Index	1173003	Green/red/yellow pepper	Price (Rand)	monthly	10734	Per Kilogram	2017-02-01 	35.14	
7981	P0141	Consumer Price Index	1173004	Vegetables  - frozen	Price (Rand)	monthly	10917	1 Kilogram	2017-02-01 	35.28	
8060	P0141	Consumer Price Index	1173006	Cucumber	Price (Rand)	monthly	11015	Each	2017-02-01 	10.04	
8139	P0141	Consumer Price Index	1174001	Onions	Price (Rand)	monthly	10734	Per Kilogram	2017-02-01 	10.79	
8218	P0141	Consumer Price Index	1174002	Carrots	Price (Rand)	monthly	10917	1 Kilogram	2017-02-01 	10.94	
8297	P0141	Consumer Price Index	1174003	Beetroot	Price (Rand)	monthly	10917	1 Kilogram	2017-02-01 	11.66	
8376	P0141	Consumer Price Index	1174005	Mushrooms	Price (Rand)	monthly	10863	250 Gram	2017-02-01 	21.35	
8455	P0141	Consumer Price Index	1175002	Beans - dried	Price (Rand)	monthly	10895	500 Gram	2017-02-01 	20.15	
8534	P0141	Consumer Price Index	1176002	Baked beans - tinned	Price (Rand)	monthly	10886	410 Gram	2017-02-01 	9.37	
8613	P0141	Consumer Price Index	1176005	Prepared salads	Price (Rand)	monthly	10734	Per Kilogram	2017-02-01 	67.64	
8692	P0141	Consumer Price Index	1176006	Atchar	Price (Rand)	monthly	10884	400 Gram	2017-02-01 	26.19	
8771	P0141	Consumer Price Index	1176007	Mixed vegetables - tinned	Price (Rand)	monthly	10886	410 Gram	2017-02-01 	13.11	
8850	P0141	Consumer Price Index	1177001	Potatoes	Price (Rand)	monthly	10734	Per Kilogram	2017-02-01 	12.49	
8929	P0141	Consumer Price Index	1178001	Sweet potatoes	Price (Rand)	monthly	10734	Per Kilogram	2017-02-01 	25.31	
9008	P0141	Consumer Price Index	1178002	Potato chips - frozen	Price (Rand)	monthly	10917	1 Kilogram	2017-02-01 	29.42	
9087	P0141	Consumer Price Index	1178003	Potato crisps	Price (Rand)	monthly	10840	125 Gram	2017-02-01 	13.86	
9166	P0141	Consumer Price Index	1178004	Corn chips	Price (Rand)	monthly	10845	150 Gram	2017-02-01 	14.28	
9245	P0141	Consumer Price Index	1181001	White sugar	Price (Rand)	monthly	10926	2.5 Kilogram	2017-02-01 	37.06	
9324	P0141	Consumer Price Index	1181002	Brown sugar	Price (Rand)	monthly	10917	1 Kilogram	2017-02-01 	16.58	
9403	P0141	Consumer Price Index	1182001	Jam	Price (Rand)	monthly	10892	450 Gram	2017-02-01 	..	
9482	P0141	Consumer Price Index	1182001	Jam	Price (Rand)	monthly	10916	900 Gram	2017-02-01 	..	
9561	P0141	Consumer Price Index	1183001	Chocolate slab	Price (Rand)	monthly	10824	80 Gram	2017-02-01 	14.17	
9640	P0141	Consumer Price Index	1183002	Chocolate bar	Price (Rand)	monthly	11015	Each	2017-02-01 	8.67	
9719	P0141	Consumer Price Index	1184001	Sweets	Price (Rand)	monthly	10840	125 Gram	2017-02-01 	16.77	
9798	P0141	Consumer Price Index	1184002	Chewing gum	Price (Rand)	monthly	10746	For 10	2017-02-01 	11.09	
9877	P0141	Consumer Price Index	1185001	Ice cream	Price (Rand)	monthly	10699	1.8 Litre	2017-02-01 	49.63	
9956	P0141	Consumer Price Index	1185001	Ice cream	Price (Rand)	monthly	10963	2 Litre	2017-02-01 	49.07	
10035	P0141	Consumer Price Index	1191001	Vinegar	Price (Rand)	monthly	11044	750 Millilitre	2017-02-01 	10.89	
10114	P0141	Consumer Price Index	1191002	Chutney	Price (Rand)	monthly	10894	470 Gram	2017-02-01 	24.18	
10193	P0141	Consumer Price Index	1191004	Tomato sauce	Price (Rand)	monthly	10581	700 Millilitre	2017-02-01 	22.44	
10272	P0141	Consumer Price Index	1191005	Mayonnaise	Price (Rand)	monthly	10906	750 Gram	2017-02-01 	25.28	
10351	P0141	Consumer Price Index	1191006	Salad dressing	Price (Rand)	monthly	11026	340 Millilitre	2017-02-01 	26.22	
10430	P0141	Consumer Price Index	1192001	Salt	Price (Rand)	monthly	10895	500 Gram	2017-02-01 	8.4	
10509	P0141	Consumer Price Index	1192002	Spices (excl salt and curry powder)	Price (Rand)	monthly	11008	100 Millilitre	2017-02-01 	25.87	
10588	P0141	Consumer Price Index	1192003	Curry powder	Price (Rand)	monthly	10833	100 Gram	2017-02-01 	20.38	
10667	P0141	Consumer Price Index	1193001	Baby food - cereal	Price (Rand)	monthly	10863	250 Gram	2017-02-01 	26.37	
10746	P0141	Consumer Price Index	1193003	Baby food - milk formula	Price (Rand)	monthly	10916	900 Gram	2017-02-01 	142	
10825	P0141	Consumer Price Index	1193004	Instant yeast	Price (Rand)	monthly	10786	10 Gram	2017-02-01 	3.76	
10904	P0141	Consumer Price Index	1193005	Baking powder	Price (Rand)	monthly	10855	200 Gram	2017-02-01 	28.48	
10983	P0141	Consumer Price Index	1193006	Soup powder	Price (Rand)	monthly	10807	50 Gram	2017-02-01 	4.94	
11062	P0141	Consumer Price Index	1211001	Instant coffee	Price (Rand)	monthly	10863	250 Gram	2017-02-01 	34.91	
11141	P0141	Consumer Price Index	1211002	Ground coffee or coffee beans	Price (Rand)	monthly	10863	250 Gram	2017-02-01 	63.72	
11220	P0142	Consumer Price Index	1211003	Capuccino	Price (Rand)	monthly	11154	10 X 18 Gram	2017-02-01 	..	
11299	P0141	Consumer Price Index	1212001	Ceylon/black tea	Price (Rand)	monthly	10863	250 Gram	2017-02-01 	31.02	
11378	P0141	Consumer Price Index	1212002	Rooibos tea	Price (Rand)	monthly	10855	200 Gram	2017-02-01 	35.46	
11457	P0141	Consumer Price Index	1213001	Drinking chocolate (e.g.  milo, cocoa )	Price (Rand)	monthly	10895	500 Gram	2017-02-01 	53.01	
11536	P0141	Consumer Price Index	1221001	Mineral water - sparkling or still	Price (Rand)	monthly	11039	500 Millilitre	2017-02-01 	6.51	
11615	P0141	Consumer Price Index	1222001	Fizzy drinks - can	Price (Rand)	monthly	11022	300 Millilitre	2017-02-01 	8.46	
11694	P0141	Consumer Price Index	1222002	Fizzy drinks - bottle	Price (Rand)	monthly	10963	2 Litre	2017-02-01 	15.35	
11773	P0141	Consumer Price Index	1223001	Fruit juice	Price (Rand)	monthly	10960	1 Litre	2017-02-01 	20.34	
11852	P0141	Consumer Price Index	1223002	Fruit juice concentrates	Price (Rand)	monthly	10960	1 Litre	2017-02-01 	26.99	
11931	P0141	Consumer Price Index	1223003	Dairy mixture	Price (Rand)	monthly	10960	1 Litre	2017-02-01 	..	
12010	P0141	Consumer Price Index	2111001	Brandy	Price (Rand)	monthly	11044	750 Millilitre	2017-02-01 	141.83	
12089	P0141	Consumer Price Index	2111002	Whiskey	Price (Rand)	monthly	11044	750 Millilitre	2017-02-01 	173.34	
12168	P0141	Consumer Price Index	2111003	Liqueur	Price (Rand)	monthly	11044	750 Millilitre	2017-02-01 	141.19	
12247	P0141	Consumer Price Index	2111004	Vodka	Price (Rand)	monthly	11044	750 Millilitre	2017-02-01 	133.3	
12326	P0141	Consumer Price Index	2121001	Red wine	Price (Rand)	monthly	11044	750 Millilitre	2017-02-01 	51.26	
12405	P0141	Consumer Price Index	2121002	White wine	Price (Rand)	monthly	11044	750 Millilitre	2017-02-01 	47.29	
12484	P0141	Consumer Price Index	2122001	Spirit coolers or cider	Price (Rand)	monthly	11025	330 Millilitre	2017-02-01 	13.39	
12563	P0141	Consumer Price Index	2122002	Gin	Price (Rand)	monthly	11044	750 Millilitre	2017-02-01 	..	
12642	P0141	Consumer Price Index	2131004	Beer	Price (Rand)	monthly	11025	330 Millilitre	2017-02-01 	11.79	
12721	P0141	Consumer Price Index	2211001	Cigarettes	Price (Rand)	monthly	10527	For 20	2017-02-01 	35.48	
12800	P0141	Consumer Price Index	4531001	Paraffin	Price (Rand)	Monthly	11044	750 Millilitre	2017-02-01 	24.76	
12879	P0141	Consumer Price Index	5521003	Light bulb - non-energy savers	Price (Rand)	Monthly	11015	Each	2017-02-01 	33.59	
12958	P0141	Consumer Price Index	5521007	Light bulb - energy savers	Price (Rand)	Monthly	11015	Each	2017-02-01 	44.54	
13037	P0141	Consumer Price Index	5521008	Light bulb	Price (Rand)	Monthly	11015	Each	2017-02-01 	..	
13116	P0141	Consumer Price Index	5611002	Laundry soap	Price (Rand)	Monthly	10895	500 Gram	2017-02-01 	13.28	
13195	P0141	Consumer Price Index	5611003	Washing powder	Price (Rand)	Monthly	10924	2 Kilogram	2017-02-01 	49.11	
13274	P0141	Consumer Price Index	5611004	Dish-washing liquid	Price (Rand)	Monthly	11044	750 Millilitre	2017-02-01 	23.57	
13353	P0141	Consumer Price Index	5611005	Wax shoe polish	Price (Rand)	Monthly	11000	50 Millilitre	2017-02-01 	11.98	
13432	P0141	Consumer Price Index	5611007	Indoor Insecticide	Price (Rand)	Monthly	11022	300 Millilitre	2017-02-01 	22.52	
13511	P0141	Consumer Price Index	5611008	Toiletcare - Disinfectant bleaches	Price (Rand)	Monthly	11044	750 Millilitre	2017-02-01 	26.97	
13590	P0141	Consumer Price Index	5611009	Fabrick softner	Price (Rand)	Monthly	10963	2 Litre	2017-02-01 	..	
13669	P0141	Consumer Price Index	6111001	Pain Killers	Price (Rand)	Monthly	10564	For 24	2017-02-01 	21.38	
13748	P0141	Consumer Price Index	6111002	Cough syrup	Price (Rand)	Monthly	11008	100 Millilitre	2017-02-01 	44.91	
13827	P0141	Consumer Price Index	6111003	Vitamin and mineral supplement	Price (Rand)	Monthly	10567	For 30	2017-02-01 	95.1	
13906	P0141	Consumer Price Index	6111006	Cold and flu medication	Price (Rand)	Monthly	10530	48.8 Gram	2017-02-01 	40.36	
13985	P0141	Consumer Price Index	6111007	Heartburn medication	Price (Rand)	Monthly	11011	150 Millilitre	2017-02-01 	68.9	
14064	P0141	Consumer Price Index	6111009	Sore throat lozenges	Price (Rand)	Monthly	10564	For 24	2017-02-01 	52.52	
14143	P0141	Consumer Price Index	6111010	Laxatives	Price (Rand)	Monthly	10553	For 12	2017-02-01 	15.21	
14222	P0141	Consumer Price Index	6111013	Eyedrops	Price (Rand)	Monthly	10993	10 Millilitre	2017-02-01 	47.89	
14301	P0141	Consumer Price Index	7221002	Diesel	Price (Rand)	Monthly	10737	Per Litre	2017-02-01 	12.93	
14380	P0141	Consumer Price Index	9131005	Printer cartriges	Price (Rand)	Monthly	11015	Each	2017-02-01 	..	
14459	P0141	Consumer Price Index	9341001	Dog food - Pellets	Price (Rand)	Monthly	10937	8 Kilogram	2017-02-01 	143.29	
14538	P0141	Consumer Price Index	9341002	Dog food - tinned	Price (Rand)	Monthly	10908	775 Gram	2017-02-01 	22.85	
14617	P0141	Consumer Price Index	9341003	Cat food - tinned	Price (Rand)	Monthly	10881	385 Gram	2017-02-01 	14.23	
14696	P0141	Consumer Price Index	9341004	Cat food - pellets	Price (Rand)	Monthly	10922	1.75 Kilogram	2017-02-01 	53.13	
14775	P0141	Consumer Price Index	9541007	Printer paper	Price (Rand)	Monthly	11075	For 2500	2017-02-01 	..	
14854	P0141	Consumer Price Index	12131001	Shampoo	Price (Rand)	Monthly	11034	400 Millilitre	2017-02-01 	42.58	
14933	P0141	Consumer Price Index	12131002	Conditioner	Price (Rand)	Monthly	11034	400 Millilitre	2017-02-01 	49.15	
15012	P0141	Consumer Price Index	12131003	Tissues	Price (Rand)	Monthly	10637	Pack Of 2 Ply 180 Tissues	2017-02-01 	22.4	
15091	P0141	Consumer Price Index	12131004	Sanitory Pads	Price (Rand)	Monthly	10740	Per Pack	2017-02-01 	21.37	
15170	P0141	Consumer Price Index	12131005	Tampons	Price (Rand)	Monthly	10529	For 16	2017-02-01 	29.57	
